Diagnosis,Gender,AgeGroup,SpecialPopulation,TreatmentLine,Class,Medication,StartDose,Titration,Contraindications,Notes
Major Depressive Disorder,Any,Adult,Any,First-Line,SSRI,Sertraline,25-50 mg/day,Increase by 25–50 mg weekly to max 200 mg,History of mania,Monitor for activation
Major Depressive Disorder,Any,Adult,Any,First-Line,SSRI,Escitalopram,5–10 mg/day,Increase to max 20 mg,QT prolongation risk,Well-tolerated in elderly
Major Depressive Disorder,Any,Adult,Cardiac Impairment,Second-Line,SNRI,Venlafaxine,37.5 mg/day,Increase to 150–225 mg/day,Uncontrolled hypertension,Monitor BP
Major Depressive Disorder,Any,Adult,Hepatic Impairment,Second-Line,Atypical Antidepressant,Bupropion XL,150 mg/day,Increase to 300 mg/day,Seizure risk,Good for anhedonia/fatigue
Major Depressive Disorder,Any,Adult,Cardiac Impairment,Third-Line,TCA,Nortriptyline,10–25 mg/day,Slow titration,Cardiac arrhythmia risk,EKG monitoring needed
Major Depressive Disorder,Any,Adult,Any,Adjunct,Atypical Antipsychotic,Aripiprazole,2 mg/day,Increase to 10–15 mg,Akathisia,Low metabolic burden
Generalized Anxiety Disorder,Any,Adult,Any,First-Line,SSRI,Escitalopram,5–10 mg/day,Increase to 20 mg/day,Hyponatremia,Effective for chronic anxiety
Generalized Anxiety Disorder,Any,Elderly,Any,First-Line,SSRI,Sertraline,25 mg/day,Increase to 50–100 mg,Hyponatremia,Start low, go slow
Generalized Anxiety Disorder,Any,Adult,Any,Second-Line,Anxiolytic,Buspirone,7.5 mg BID,Increase to 30–60 mg/day,Dizziness,Low abuse potential
Generalized Anxiety Disorder,Any,Adult,Any,Third-Line,Antihistamine,Hydroxyzine,25 mg PRN,PRN dosing only,Sedation,Temporary relief
Panic Disorder,Any,Adult,Any,First-Line,SSRI,Paroxetine,10 mg/day,Increase to 20–40 mg,Sedation,Effective but sedating
Panic Disorder,Any,Adult,Any,Second-Line,Benzodiazepine,Clonazepam,0.25 mg BID,Use PRN or bridge,Dependence risk,Short-term use only
PTSD,Any,Adult,Any,First-Line,SSRI,Sertraline,25–50 mg/day,Increase to 200 mg,Sedation,Standard PTSD option
PTSD,Any,Adult,Any,Adjunct,Alpha-blocker,Prazosin,1 mg qHS,Increase to 5–15 mg,Syncope risk,Use for trauma nightmares
